Plant Name,Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,Drug Score,Mutagenecity,Tumerogenicity,Irritant,Drug likeliness
Andrographis paniculata,Caffeic acid,OC(=O)/C=C/c1ccc(c(c1)O)O,C9H8O4,180.16,13,6,0,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.75,0.93,-1.89,2.32E+00,1.29E-02,Very soluble,-2.38,7.55E-01,4.19E-03,Soluble,-0.71,3.51E+01,1.95E-01,Soluble,High,No,No,No,No,No,No,No,-6.58,0,0,0,0,1,0.56,1,2,1,1.81,0.19,Yes,yes,no,1.62
Andrographis paniculata,"Apigenin 7,4'-dimethyl ether",COc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)OC,C17H14O5,298.29,22,16,0.12,3,5,1,82.93,68.9,2.55,3.67,3.18,1.01,3.55,2.79,-4.34,1.36E-02,4.55E-05,Moderately soluble,-4.81,4.66E-03,1.56E-05,Moderately soluble,-5.8,4.74E-04,1.59E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-5.51,0,0,0,0,0,0.55,0,0,1,3.14,0.49,no,no,no,-1.47
Andrographis paniculata, 3-O-Caffeoylquinic acid,O=C(O[C@@H]1C[C@@](O)(C[C@H]([C@H]1O)O)C(=O)O)/C=C/c1ccc(c(c1)O)O,C16H18O9,354.31,25,6,0.38,5,9,6,83.5,164.75,0.87,-0.42,-0.75,-1.05,-0.61,-0.39,-1.62,8.50E+00,2.40E-02,Very soluble,-2.58,9.42E-01,2.66E-03,Soluble,0.4,8.94E+02,2.52E+00,Soluble,Low,No,No,No,No,No,No,No,-8.76,1,1,1,1,2,0.11,1,2,1,4.16,0.7,NO,no,no,0.17
Andrographis paniculata,Ferulic acid,COc1cc(/C=C/C(=O)O)ccc1O,C10H10O4,194.18,14,6,0.1,3,4,2,51.63,66.76,1.62,1.51,1.39,1,1.26,1.36,-2.11,1.49E+00,7.68E-03,Soluble,-2.52,5.86E-01,3.02E-03,Soluble,-1.42,7.43E+00,3.83E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.41,0,0,0,0,1,0.85,0,1,1,1.93,0.18,Yes,yes,no,1.12
Andrographis paniculata,beta-Sitosterol,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,C29H50O,414.71,30,0,0.93,6,1,1,133.23,20.23,5.05,9.34,8.02,6.73,7.04,7.24,-7.9,5.23E-06,1.26E-08,Poorly soluble,-9.67,8.90E-08,2.15E-10,Poorly soluble,-6.19,2.69E-04,6.49E-07,Poorly soluble,Low,No,No,No,No,No,No,No,-2.2,1,3,0,1,2,0.55,0,1,2,6.3,               O.13,NO,no,no,-4.48
Andrographis paniculata,7-O-Methylwogonin,COc1c(OC)cc(c2c1oc(cc2=O)c1ccccc1)O,C17H14O5,298.29,22,16,0.12,3,5,1,82.93,68.9,2.99,3.32,3.18,1.01,3.55,2.81,-4.12,2.26E-02,7.57E-05,Moderately soluble,-4.44,1.07E-02,3.60E-05,Moderately soluble,-5.8,4.74E-04,1.59E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-5.76,0,0,0,0,0,0.55,0,0,0,3.29,0.25,Yes,yes,no,0.87
Andrographis paniculata,"5,4'-Dihidroxy-7,8,2',3'-tetramethoxyflavone",COc1c(O)ccc(c1OC)c1cc(=O)c2c(o1)c(OC)c(cc2O)OC,C19H18O8,374.34,27,16,0.21,5,8,2,97.93,107.59,2.63,2.91,2.91,-0.12,3.19,2.3,-4.1,2.95E-02,7.89E-05,Moderately soluble,-4.83,5.53E-03,1.48E-05,Moderately soluble,-5.43,1.38E-03,3.69E-06,Moderately soluble,High,No,No,No,No,Yes,No,Yes,-6.52,0,0,0,0,0,0.55,0,0,1,3.7,0.25,Yes,yes,no,0.79
Andrographis paniculata,Wogonin 5-glucoside,OC[C@H]1O[C@@H](Oc2cc(O)c(c3c2c(=O)cc(o3)c2ccccc2)OC)[C@@H]([C@H]([C@@H]1O)O)O,C22H22O10,446.4,32,16,0.32,5,10,5,110.58,159.05,2.6,0.64,0.35,-1.39,0.89,0.62,-3.05,3.97E-01,8.89E-04,Soluble,-3.56,1.24E-01,2.78E-04,Soluble,-3.38,1.85E-01,4.15E-04,Soluble,Low,No,Yes,No,No,No,No,Yes,-8.57,0,0,1,1,1,0.55,0,0,1,5.37,0.12,Yes,yes,no,-2.55
Andrographis paniculata,"5-Hydroxy-7,8-dimethoxyflavone 5-glucoside",OC[C@H]1O[C@@H](Oc2cc(OC)c(c3c2c(=O)cc(o3)c2ccccc2)OC)[C@@H]([C@H]([C@@H]1O)O)O,C23H24O10,460.43,33,16,0.35,6,10,4,115.05,148.05,2.37,0.96,0.66,-1.18,1.44,0.85,-3.26,2.52E-01,5.47E-04,Soluble,-3.66,1.02E-01,2.21E-04,Soluble,-4.07,3.92E-02,8.51E-05,Moderately soluble,Low,No,Yes,No,No,No,No,Yes,-8.43,0,0,1,1,0,0.55,0,0,1,5.48,             o.11,Yes,yes,no,-2.55
Andrographis paniculata,"5-Hydroxy-7,8,2'-trimethoxyflavone 5-glucoside",OC[C@H]1O[C@@H](Oc2cc(OC)c(c3c2c(=O)cc(o3)c2ccccc2OC)OC)[C@@H]([C@H]([C@@H]1O)O)O,C24H26O11,490.46,35,16,0.38,7,11,4,121.54,157.28,3.58,0.93,0.66,-1.46,1.51,1.05,-3.34,2.23E-01,4.54E-04,Soluble,-3.82,7.44E-02,1.52E-04,Soluble,-4.17,3.35E-02,6.82E-05,Moderately soluble,Low,No,Yes,No,No,No,No,Yes,-8.63,1,1,1,1,2,0.55,0,0,1,5.69,0.11,Yes,yes,no,-2.64
